age_cat,race,sex,c_charge_degree,is_recid,priors_count,time_served,two_year_recid
25 - 45,Caucasian,Male,M,0,3,0,0
Less than 25,African-American,Male,M,1,2,2,1
Greater than 45,African-American,Female,M,1,14,122,1
25 - 45,Caucasian,Male,M,1,9,4,1
25 - 45,Caucasian,Male,M,0,9,32,0
25 - 45,African-American,Male,M,0,1,0,0
Greater than 45,Caucasian,Male,M,0,0,0,0
25 - 45,African-American,Male,M,1,19,17,1
25 - 45,African-American,Male,F,1,1,15,0
25 - 45,African-American,Female,F,1,0,2,1
Greater than 45,Caucasian,Male,F,0,0,6,0
25 - 45,Caucasian,Male,M,0,0,0,0
25 - 45,African-American,Male,M,0,5,0,0
25 - 45,African-American,Male,F,0,11,117,0
25 - 45,Caucasian,Male,M,1,4,1,1
25 - 45,African-American,Male,M,1,0,1,1
Less than 25,African-American,Male,M,0,0,0,0
25 - 45,Caucasian,Male,M,0,0,0,0
25 - 45,African-American,Male,M,1,10,5,1
Less than 25,Hispanic,Male,F,1,11,0,1
Less than 25,African-American,Male,F,0,0,1,0
25 - 45,Caucasian,Male,M,1,5,0,1
25 - 45,Caucasian,Male,F,0,1,1,0
Less than 25,African-American,Male,F,1,0,1,1
Greater than 45,Caucasian,Male,M,0,0,0,0
25 - 45,Caucasian,Female,F,0,3,25,0
Greater than 45,Hispanic,Male,F,1,9,130,1
Less than 25,Caucasian,Male,F,1,1,0,1
Less than 25,African-American,Female,M,1,0,0,1
25 - 45,Hispanic,Male,F,0,1,0,0
Greater than 45,African-American,Male,F,0,4,2,0
Greater than 45,Asian,Male,F,1,1,1,1
Greater than 45,African-American,Female,M,0,3,18,0
Less than 25,Caucasian,Male,M,0,3,0,0
Less than 25,African-American,Male,F,1,0,71,1
25 - 45,Caucasian,Male,M,0,0,0,0
Less than 25,Hispanic,Male,F,1,3,42,1
Greater than 45,Caucasian,Male,F,1,10,73,1
25 - 45,Caucasian,Male,F,1,1,0,1
Less than 25,Caucasian,Male,M,1,0,3,1
25 - 45,Other,Male,F,0,6,26,0
25 - 45,African-American,Male,F,0,0,1,0
25 - 45,African-American,Male,F,1,19,0,1
25 - 45,African-American,Female,M,1,1,0,1
25 - 45,African-American,Male,F,0,6,1,0
25 - 45,African-American,Male,F,0,2,274,0
25 - 45,Caucasian,Male,F,1,11,1,1
25 - 45,African-American,Male,F,0,0,0,0
25 - 45,African-American,Male,F,1,1,0,1
Less than 25,Other,Male,F,1,3,0,1
25 - 45,African-American,Male,F,1,7,0,1
Less than 25,African-American,Male,F,1,2,1,1
25 - 45,Caucasian,Male,F,0,0,0,0
25 - 45,Hispanic,Male,M,0,0,1,0
Less than 25,African-American,Male,M,1,2,12,1
Less than 25,African-American,Male,F,1,0,0,1
25 - 45,Caucasian,Male,F,1,15,70,1
25 - 45,African-American,Male,M,1,2,0,1
25 - 45,African-American,Male,F,1,10,2,1
25 - 45,Caucasian,Male,M,0,0,0,0
Greater than 45,Caucasian,Male,F,0,8,172,0
25 - 45,African-American,Male,F,1,14,2,1
25 - 45,African-American,Male,F,1,13,0,1
25 - 45,African-American,Male,F,1,9,24,1
25 - 45,African-American,Male,M,0,0,1,0
Less than 25,Hispanic,Male,M,1,1,0,1
Greater than 45,African-American,Male,F,0,1,60,0
25 - 45,African-American,Male,F,0,4,33,0
25 - 45,Caucasian,Male,F,1,1,30,1
25 - 45,Caucasian,Female,M,0,0,0,0
Less than 25,African-American,Male,M,0,3,6,0
25 - 45,African-American,Male,F,1,6,18,1
25 - 45,Caucasian,Male,M,0,0,1,0
Less than 25,African-American,Male,F,1,3,1,1
Less than 25,African-American,Male,F,0,0,3,0
25 - 45,Caucasian,Male,M,0,0,0,0
25 - 45,African-American,Male,M,0,18,17,0
25 - 45,African-American,Male,F,0,1,290,0
25 - 45,Caucasian,Male,F,1,2,47,1
25 - 45,Caucasian,Male,M,1,3,2,0
Greater than 45,African-American,Male,M,0,5,4,0
25 - 45,Other,Male,M,0,0,0,0
Greater than 45,Hispanic,Male,M,0,0,1,0
Less than 25,African-American,Male,F,1,0,0,1
25 - 45,African-American,Male,F,1,7,0,1
25 - 45,African-American,Male,M,0,1,1,0
Less than 25,Caucasian,Male,F,0,0,3,0
25 - 45,African-American,Male,M,1,10,108,1
25 - 45,African-American,Male,F,0,0,1,0
25 - 45,African-American,Male,F,0,2,0,0
25 - 45,African-American,Male,F,1,8,0,1
25 - 45,African-American,Male,F,1,1,0,1
Greater than 45,Caucasian,Male,M,0,0,0,0
25 - 45,African-American,Male,F,0,1,8,0
Less than 25,Caucasian,Male,F,1,0,1,1
25 - 45,African-American,Male,F,0,1,2,0
Less than 25,African-American,Female,M,0,6,310,0
25 - 45,Caucasian,Male,F,0,0,2,0
25 - 45,Caucasian,Male,F,0,1,1,0
25 - 45,African-American,Male,F,0,0,7,0
Less than 25,African-American,Male,F,0,0,0,0
Less than 25,Caucasian,Male,F,0,0,0,0
25 - 45,African-American,Male,M,0,1,1,0
Greater than 45,Caucasian,Male,M,0,9,4,0
25 - 45,African-American,Male,M,0,2,0,0
25 - 45,African-American,Male,F,1,0,0,1
25 - 45,African-American,Male,M,0,1,1,0
25 - 45,Caucasian,Male,F,0,0,28,0
Less than 25,Caucasian,Male,F,1,1,36,1
25 - 45,Hispanic,Male,M,0,3,0,0
25 - 45,African-American,Male,M,1,4,1,1
Greater than 45,Caucasian,Male,M,1,3,1,1
25 - 45,Native American,Male,F,0,0,0,0
Greater than 45,African-American,Male,F,0,0,2,0
Greater than 45,African-American,Male,F,1,8,99,1
25 - 45,African-American,Male,M,1,5,0,0
25 - 45,African-American,Male,F,0,9,25,0
Greater than 45,African-American,Male,F,1,5,242,1
25 - 45,Caucasian,Female,F,0,0,1,0
Greater than 45,African-American,Male,M,0,5,0,0
Greater than 45,Caucasian,Male,F,1,0,0,1
Greater than 45,Caucasian,Male,F,0,2,2,0
Greater than 45,Caucasian,Male,M,0,0,0,0
Greater than 45,African-American,Male,F,1,4,1,1
25 - 45,African-American,Female,F,0,0,0,0
Less than 25,Hispanic,Male,F,1,2,21,1
Less than 25,Other,Male,F,0,0,28,0
25 - 45,African-American,Male,F,1,21,64,1
Less than 25,Hispanic,Female,M,0,0,0,0
25 - 45,African-American,Male,F,0,1,1,0
25 - 45,African-American,Male,F,1,8,13,1
Less than 25,African-American,Male,F,0,1,7,0
Greater than 45,Caucasian,Male,M,0,0,0,0
Less than 25,African-American,Male,F,1,1,0,1
Greater than 45,Caucasian,Male,M,1,1,0,1
Greater than 45,Caucasian,Male,M,1,0,14,1
Greater than 45,African-American,Male,F,0,2,0,0
25 - 45,African-American,Female,F,1,11,15,1
25 - 45,African-American,Male,M,0,4,29,0
25 - 45,African-American,Male,F,1,14,2,1
25 - 45,African-American,Male,F,0,2,0,0
Greater than 45,African-American,Male,F,1,5,202,1
25 - 45,African-American,Male,F,1,0,34,1
25 - 45,Caucasian,Male,F,1,7,1,1
25 - 45,African-American,Male,F,0,8,4,0
25 - 45,Other,Male,F,1,5,3,0
25 - 45,African-American,Female,M,0,1,1,0
25 - 45,Caucasian,Male,F,0,4,183,0
25 - 45,African-American,Female,M,0,0,1,0
Less than 25,Hispanic,Male,F,0,1,0,0
25 - 45,Caucasian,Male,F,1,1,49,1
Greater than 45,African-American,Male,F,0,1,2,0
25 - 45,Caucasian,Male,M,1,0,2,1
25 - 45,African-American,Female,M,0,4,1,0
25 - 45,African-American,Male,F,0,4,1,0
Greater than 45,African-American,Male,M,0,0,1,0
25 - 45,African-American,Male,M,0,2,1,0
Greater than 45,African-American,Male,F,0,5,12,0
25 - 45,African-American,Male,F,0,0,1,0
25 - 45,African-American,Male,F,1,4,0,1
25 - 45,African-American,Male,M,1,0,0,0
25 - 45,Caucasian,Male,M,0,1,2,0
25 - 45,African-American,Female,F,0,1,0,0
25 - 45,African-American,Male,M,1,13,0,1
25 - 45,African-American,Male,F,0,9,0,0
25 - 45,Caucasian,Male,F,0,1,1,0
25 - 45,Caucasian,Male,F,0,0,116,0
25 - 45,Caucasian,Female,M,0,1,0,0
25 - 45,African-American,Male,F,1,3,0,0
Greater than 45,African-American,Female,M,0,7,1,0
Less than 25,African-American,Male,F,0,0,50,0
25 - 45,Hispanic,Male,F,1,16,482,1
25 - 45,African-American,Male,F,1,2,3,1
Less than 25,African-American,Female,M,0,0,0,0
25 - 45,African-American,Male,F,0,1,1,0
Less than 25,Caucasian,Female,F,0,1,1,0
25 - 45,African-American,Male,M,1,13,0,1
Greater than 45,African-American,Male,F,1,0,2,0
25 - 45,African-American,Male,F,0,2,0,0
25 - 45,Other,Female,M,0,0,0,0
Greater than 45,Caucasian,Male,M,0,0,0,0
Less than 25,Caucasian,Male,M,1,0,0,1
25 - 45,African-American,Male,F,1,0,1,0
25 - 45,Hispanic,Male,F,1,2,9,1
25 - 45,Asian,Male,F,1,2,161,1
Less than 25,African-American,Male,F,1,1,15,1
Less than 25,African-American,Male,F,1,3,1,1
25 - 45,African-American,Male,M,1,2,2,0
Less than 25,Hispanic,Male,F,1,0,0,1
Greater than 45,Caucasian,Male,M,1,2,3,0
Greater than 45,African-American,Male,F,0,1,0,0
25 - 45,Hispanic,Male,F,1,8,0,1
25 - 45,Hispanic,Male,F,1,5,2,1
Less than 25,African-American,Male,M,1,1,0,1
25 - 45,Caucasian,Female,M,0,0,0,0
Greater than 45,Caucasian,Male,M,1,2,4,0
25 - 45,African-American,Male,F,1,11,44,1
25 - 45,Hispanic,Male,F,0,0,0,0
25 - 45,African-American,Male,F,1,7,0,1
25 - 45,Hispanic,Male,F,1,0,2,1
25 - 45,Caucasian,Female,F,0,7,8,0
25 - 45,Caucasian,Male,F,0,0,1,0
25 - 45,Other,Male,F,0,3,0,0
25 - 45,Other,Male,F,1,4,0,1
Greater than 45,Caucasian,Male,F,0,4,5,0
Less than 25,Caucasian,Male,F,0,0,18,0
25 - 45,African-American,Male,F,0,1,0,0
25 - 45,Caucasian,Male,F,0,0,1,0
Less than 25,African-American,Male,F,1,1,6,1
25 - 45,Hispanic,Male,F,0,0,0,0
25 - 45,Caucasian,Male,M,1,7,27,1
25 - 45,Caucasian,Male,M,0,0,18,0
25 - 45,African-American,Male,F,1,13,14,1
25 - 45,Caucasian,Male,F,1,2,7,1
Less than 25,Caucasian,Male,F,1,0,3,1
25 - 45,African-American,Male,F,1,4,86,1
Greater than 45,Caucasian,Male,M,0,0,0,0
25 - 45,African-American,Female,M,1,0,6,1
Less than 25,Other,Male,F,1,0,6,1
Greater than 45,Caucasian,Male,M,1,1,5,1
25 - 45,African-American,Male,F,0,4,0,0
Less than 25,Caucasian,Male,F,1,5,4,1
Less than 25,Caucasian,Male,F,1,0,2,1
25 - 45,African-American,Male,F,0,2,26,0
25 - 45,African-American,Male,F,1,1,1,1
Greater than 45,Other,Male,F,0,2,1,0
Less than 25,African-American,Male,F,0,0,0,0
25 - 45,African-American,Male,F,0,4,92,0
25 - 45,Caucasian,Male,M,0,0,0,0
25 - 45,Other,Female,M,0,0,0,0
Less than 25,Other,Male,F,0,0,5,0
25 - 45,African-American,Male,F,1,1,1,1
Less than 25,Caucasian,Female,F,0,0,36,0
Greater than 45,Caucasian,Male,M,0,2,1,0
25 - 45,African-American,Male,F,0,9,2,0
Greater than 45,Other,Male,M,0,0,0,0
25 - 45,African-American,Female,M,0,0,0,0
Less than 25,African-American,Male,F,1,3,128,0
25 - 45,African-American,Male,F,1,0,1,1
25 - 45,Hispanic,Female,M,1,3,1,1
Greater than 45,Caucasian,Male,M,0,0,0,0
25 - 45,Caucasian,Male,F,0,0,0,0
25 - 45,Other,Male,M,0,0,1,0
Greater than 45,Caucasian,Male,F,1,9,54,1
Less than 25,African-American,Male,F,1,0,0,1
25 - 45,African-American,Male,F,1,4,80,0
25 - 45,Caucasian,Male,F,1,1,69,1
25 - 45,Caucasian,Male,F,0,2,0,0
Greater than 45,African-American,Female,F,0,4,0,0
Greater than 45,African-American,Female,F,0,0,1,0
25 - 45,African-American,Male,F,1,12,5,1
25 - 45,Caucasian,Male,M,0,0,0,0
25 - 45,African-American,Female,F,0,5,0,0
Less than 25,African-American,Male,F,0,2,18,0
25 - 45,Caucasian,Male,M,0,0,0,0
25 - 45,Caucasian,Male,F,0,1,2,0
Greater than 45,Caucasian,Male,F,1,11,12,1
Greater than 45,Caucasian,Male,F,0,2,1,0
Greater than 45,African-American,Male,M,1,4,7,0
Greater than 45,Native American,Female,F,1,15,1,1
Greater than 45,African-American,Male,F,1,21,85,1
Greater than 45,Caucasian,Female,F,0,1,1,0
Greater than 45,Caucasian,Female,F,0,0,0,0
25 - 45,African-American,Male,M,0,0,1,0
25 - 45,Caucasian,Male,M,1,5,0,1
Less than 25,African-American,Male,F,1,1,59,1
25 - 45,African-American,Male,F,1,26,1,1
Less than 25,African-American,Male,F,1,1,49,1
Less than 25,African-American,Male,F,0,0,1,0
25 - 45,African-American,Male,F,1,4,0,1
25 - 45,African-American,Female,F,1,3,1,1
25 - 45,Caucasian,Male,F,1,3,12,1
Greater than 45,Caucasian,Male,M,0,0,0,0
25 - 45,Caucasian,Male,F,1,11,0,1
Greater than 45,African-American,Male,F,1,5,2,1
25 - 45,Other,Male,M,1,4,2,1
25 - 45,African-American,Male,F,1,18,9,1
25 - 45,African-American,Male,F,0,15,55,0
25 - 45,African-American,Male,F,0,0,0,0
25 - 45,African-American,Male,M,1,8,1,1
25 - 45,Hispanic,Male,F,0,3,0,0
25 - 45,Caucasian,Female,F,0,0,0,0
Less than 25,Other,Female,M,1,0,10,1
25 - 45,Hispanic,Male,M,0,0,0,0
25 - 45,Caucasian,Male,M,0,6,1,0
25 - 45,African-American,Male,F,1,3,1,1
25 - 45,African-American,Female,M,0,0,0,0
25 - 45,Caucasian,Female,F,1,2,11,1
25 - 45,African-American,Male,F,0,3,1,0
25 - 45,Caucasian,Male,M,0,1,1,0
25 - 45,Caucasian,Male,F,1,5,1,1
25 - 45,Hispanic,Male,M,0,1,1,0
Greater than 45,Caucasian,Male,M,0,1,0,0
25 - 45,Caucasian,Male,F,0,2,0,0
Greater than 45,Caucasian,Male,M,0,0,2,0
25 - 45,Caucasian,Female,M,1,4,54,1
Greater than 45,Caucasian,Male,F,0,9,1,0
25 - 45,Caucasian,Female,F,0,0,1,0
Less than 25,Caucasian,Male,F,0,0,2,0
Less than 25,African-American,Male,F,1,0,1,1
25 - 45,African-American,Male,M,1,4,15,1
Greater than 45,Caucasian,Male,M,0,0,0,0
25 - 45,African-American,Male,F,0,4,1,0
25 - 45,Caucasian,Male,M,1,0,1,1
25 - 45,African-American,Male,F,1,3,33,1
Greater than 45,African-American,Male,F,0,1,7,0
25 - 45,Caucasian,Male,F,1,3,1,1
25 - 45,Hispanic,Female,M,1,0,1,1
25 - 45,African-American,Male,F,1,14,1,1
Less than 25,African-American,Male,M,0,0,0,0
Greater than 45,Caucasian,Male,F,0,0,0,0
25 - 45,African-American,Male,M,1,37,30,1
Less than 25,African-American,Male,F,0,2,237,0
25 - 45,African-American,Male,M,1,0,1,1
25 - 45,African-American,Male,F,1,2,192,1
25 - 45,Caucasian,Female,F,0,2,1,0
25 - 45,African-American,Female,F,1,7,2,1
25 - 45,African-American,Male,M,1,0,1,1
25 - 45,African-American,Male,F,0,1,13,0
25 - 45,African-American,Female,F,1,3,4,1
25 - 45,African-American,Male,F,1,1,0,1
25 - 45,African-American,Male,F,0,0,1,0
25 - 45,African-American,Male,F,0,1,1,0
25 - 45,African-American,Male,F,1,15,2,1
Greater than 45,African-American,Male,F,1,6,13,1
Less than 25,African-American,Male,F,1,17,130,1
25 - 45,Hispanic,Male,F,1,0,1,1
Less than 25,African-American,Male,F,1,1,242,1
25 - 45,Hispanic,Female,F,1,1,1,1
Less than 25,African-American,Male,F,0,0,0,0
Greater than 45,Hispanic,Male,F,1,9,33,1
25 - 45,Other,Female,F,0,0,1,0
Greater than 45,African-American,Female,F,0,1,6,0
25 - 45,African-American,Male,M,1,1,0,1
Greater than 45,African-American,Male,F,1,10,9,1
Less than 25,Caucasian,Male,F,0,1,12,0
25 - 45,Caucasian,Male,F,1,6,1,1
Greater than 45,African-American,Male,M,1,1,70,1
Greater than 45,Caucasian,Male,M,0,0,0,0
25 - 45,African-American,Female,M,1,9,214,1
Greater than 45,Caucasian,Male,M,0,0,1,0
25 - 45,African-American,Male,F,1,10,8,1
Less than 25,Caucasian,Male,F,1,3,127,1
25 - 45,Other,Male,F,1,0,22,1
Greater than 45,African-American,Male,M,0,0,3,0
Less than 25,African-American,Male,F,1,3,0,1
25 - 45,African-American,Male,F,0,13,0,0
Greater than 45,African-American,Male,M,1,3,20,1
25 - 45,African-American,Male,F,1,5,5,1
Greater than 45,African-American,Male,F,0,2,3,0
Less than 25,Caucasian,Male,M,1,0,9,1
Greater than 45,Caucasian,Male,M,0,1,1,0
Less than 25,Caucasian,Female,F,1,0,1,1
Less than 25,African-American,Male,M,0,0,2,0
Greater than 45,African-American,Male,F,0,1,2,0
25 - 45,Caucasian,Female,F,0,0,1,0
25 - 45,Caucasian,Male,M,0,0,0,0
25 - 45,Caucasian,Male,F,1,0,0,1
25 - 45,African-American,Male,F,1,2,0,1
25 - 45,Caucasian,Male,F,0,3,1,0
25 - 45,African-American,Male,M,1,3,2,1
25 - 45,African-American,Male,F,1,7,10,1
25 - 45,African-American,Male,F,0,1,0,0
25 - 45,Caucasian,Male,F,1,0,40,1
25 - 45,Caucasian,Female,F,0,2,0,0
Less than 25,Hispanic,Male,F,1,6,218,1
25 - 45,African-American,Male,F,1,21,2,1
25 - 45,Caucasian,Female,M,0,0,1,0
Less than 25,African-American,Male,F,1,0,3,1
25 - 45,African-American,Female,M,0,0,0,0
25 - 45,African-American,Male,F,1,25,40,1
Less than 25,Caucasian,Female,F,0,0,2,0
25 - 45,Caucasian,Male,M,1,0,5,1
25 - 45,Caucasian,Male,F,0,0,0,0
Greater than 45,Caucasian,Male,F,1,0,1,1
25 - 45,Caucasian,Male,F,1,0,1,1
25 - 45,Caucasian,Male,M,0,1,24,0
25 - 45,African-American,Female,F,1,12,0,1
25 - 45,African-American,Male,F,0,3,0,0
Greater than 45,African-American,Male,F,1,15,0,1
25 - 45,African-American,Male,F,1,9,16,1
25 - 45,African-American,Female,F,0,1,4,0
Less than 25,African-American,Male,M,1,1,0,0
Greater than 45,African-American,Male,F,0,1,0,0
25 - 45,Caucasian,Male,M,0,1,0,0
Less than 25,African-American,Male,F,1,3,0,1
25 - 45,Caucasian,Male,M,1,1,1,1
25 - 45,Caucasian,Male,F,0,1,0,0
Less than 25,Caucasian,Male,F,1,1,21,1
Greater than 45,Other,Male,F,0,2,0,0
Less than 25,African-American,Male,F,1,1,1,1
25 - 45,Caucasian,Male,F,0,5,0,0
25 - 45,African-American,Male,M,1,6,1,1
Greater than 45,African-American,Male,M,0,1,0,0
25 - 45,African-American,Female,M,1,2,1,1
25 - 45,Caucasian,Male,M,0,0,2,0
Greater than 45,African-American,Male,F,1,22,1,1
25 - 45,African-American,Male,F,1,4,2,1
25 - 45,Caucasian,Male,F,0,2,0,0
Less than 25,African-American,Female,F,0,1,3,0
25 - 45,Hispanic,Male,M,0,0,1,0
Less than 25,African-American,Male,F,0,3,1,0
25 - 45,African-American,Male,F,0,2,1,0
25 - 45,African-American,Male,F,1,7,54,1
25 - 45,African-American,Female,F,1,14,5,1
25 - 45,Caucasian,Male,M,0,2,1,0
Less than 25,African-American,Male,F,1,6,1,1
25 - 45,Hispanic,Male,F,1,1,0,1
25 - 45,African-American,Male,M,0,2,28,0
Greater than 45,Hispanic,Male,F,0,0,1,0
Less than 25,African-American,Female,F,0,0,0,0
Less than 25,Caucasian,Male,F,0,0,0,0
25 - 45,African-American,Male,F,1,5,6,1
25 - 45,Caucasian,Male,M,0,4,1,0
25 - 45,Other,Male,F,1,1,1,1
Greater than 45,Hispanic,Male,F,1,1,5,1
Less than 25,African-American,Male,F,1,1,0,1
Greater than 45,Caucasian,Male,F,0,1,11,0
Less than 25,African-American,Female,F,0,0,0,0
25 - 45,Hispanic,Male,F,0,0,1,0
25 - 45,Caucasian,Female,F,0,2,0,0
25 - 45,Caucasian,Male,F,1,8,41,1
25 - 45,Caucasian,Male,F,0,2,0,0
25 - 45,Caucasian,Male,F,1,0,3,1
Less than 25,African-American,Male,F,0,1,0,0
25 - 45,African-American,Male,F,0,3,1,0
Less than 25,Caucasian,Male,F,1,0,1,0
Less than 25,Caucasian,Male,F,1,0,8,1
25 - 45,Caucasian,Female,F,1,4,1,1
Less than 25,African-American,Male,F,1,1,6,1
Less than 25,Hispanic,Male,F,0,0,0,0
Greater than 45,African-American,Male,F,0,3,0,0
25 - 45,African-American,Male,F,1,7,77,1
Less than 25,African-American,Male,F,1,1,16,1
25 - 45,Caucasian,Male,M,0,0,13,0
Greater than 45,Caucasian,Male,F,0,3,1,0
25 - 45,Hispanic,Male,F,0,0,1,0
Greater than 45,African-American,Male,F,0,0,0,0
Greater than 45,African-American,Male,F,1,17,46,1
25 - 45,African-American,Male,F,1,8,1,1
Less than 25,Caucasian,Male,F,0,1,1,0
25 - 45,Caucasian,Male,M,1,0,0,1
25 - 45,Caucasian,Male,M,1,1,0,1
25 - 45,African-American,Male,F,0,1,0,0
Less than 25,African-American,Male,F,1,2,1,1
Greater than 45,Caucasian,Male,F,0,4,2,0
25 - 45,African-American,Male,F,0,4,0,0
25 - 45,Hispanic,Female,M,1,0,7,1
25 - 45,Caucasian,Male,M,0,0,1,0
Greater than 45,Caucasian,Male,M,1,1,1,1
25 - 45,Hispanic,Male,F,0,2,10,0
Greater than 45,Caucasian,Male,F,0,1,1,0
Greater than 45,African-American,Male,M,1,1,0,1
Greater than 45,Caucasian,Male,F,0,0,27,0
Less than 25,Caucasian,Male,M,1,3,1,1
25 - 45,African-American,Male,F,0,1,0,0
25 - 45,Hispanic,Male,F,0,1,1,0
25 - 45,African-American,Female,M,1,10,3,1
25 - 45,African-American,Male,M,1,10,0,1
25 - 45,African-American,Male,F,1,6,1,1
25 - 45,African-American,Male,F,0,0,1,0
Greater than 45,Caucasian,Male,F,0,10,22,0
25 - 45,African-American,Male,F,1,1,0,1
Greater than 45,African-American,Male,F,1,10,4,1
25 - 45,African-American,Male,M,0,4,0,0
25 - 45,Caucasian,Male,F,1,10,0,1
Greater than 45,Caucasian,Female,M,0,0,0,0
25 - 45,African-American,Male,M,1,3,1,0
Less than 25,African-American,Male,F,1,1,0,1
Greater than 45,Caucasian,Male,F,0,0,30,0
25 - 45,Caucasian,Male,M,0,16,81,0
Less than 25,African-American,Male,F,1,4,1,1
Less than 25,African-American,Male,F,1,0,1,1
Greater than 45,Caucasian,Male,F,0,0,2,0
25 - 45,Caucasian,Female,M,0,0,1,0
25 - 45,Caucasian,Male,F,0,0,54,0
Greater than 45,African-American,Female,F,0,7,18,0
25 - 45,African-American,Male,M,0,0,0,0
25 - 45,Caucasian,Male,M,0,0,0,0
25 - 45,African-American,Male,F,1,3,1,1
Less than 25,African-American,Male,F,1,1,2,1
25 - 45,Caucasian,Male,M,0,0,0,0
25 - 45,Caucasian,Male,F,1,11,11,1
Less than 25,African-American,Male,F,0,0,1,0
Greater than 45,African-American,Male,F,1,10,43,1
25 - 45,African-American,Male,F,1,4,0,1
25 - 45,African-American,Male,F,1,1,0,1
25 - 45,African-American,Male,F,0,0,0,0
Greater than 45,African-American,Male,F,0,1,0,0
Less than 25,African-American,Male,M,0,0,2,0
25 - 45,African-American,Female,M,0,0,1,0
Greater than 45,Other,Male,M,0,0,1,0
Greater than 45,Other,Male,F,0,2,1,0
Greater than 45,African-American,Male,F,1,16,68,1
25 - 45,African-American,Male,F,0,4,29,0
25 - 45,African-American,Male,F,1,8,1,0
25 - 45,African-American,Female,M,0,0,0,0
25 - 45,African-American,Male,M,0,1,0,0
25 - 45,Caucasian,Male,M,0,0,0,0
25 - 45,Other,Male,F,0,0,1,0
25 - 45,African-American,Female,F,0,0,0,0
25 - 45,African-American,Male,F,1,9,1,1
Greater than 45,African-American,Male,F,0,1,0,0
25 - 45,Caucasian,Male,F,0,1,2,0
Greater than 45,Caucasian,Female,M,1,0,4,1
Greater than 45,African-American,Female,F,0,8,43,0
25 - 45,African-American,Male,F,1,5,6,1
Greater than 45,African-American,Male,F,1,13,0,1
Less than 25,Other,Male,M,1,0,1,1
25 - 45,African-American,Male,F,1,8,1,1
Less than 25,African-American,Male,M,0,0,1,0
Less than 25,African-American,Male,F,1,1,1,0
Greater than 45,Caucasian,Male,M,0,0,0,0
Greater than 45,Caucasian,Male,F,0,0,73,0
25 - 45,Caucasian,Male,F,0,1,292,0
Less than 25,African-American,Male,F,1,1,1,1
Greater than 45,Caucasian,Male,F,1,5,0,1
Greater than 45,Caucasian,Male,M,0,0,0,0
25 - 45,Hispanic,Female,F,0,0,0,0
25 - 45,African-American,Female,F,0,1,0,0
25 - 45,African-American,Female,F,0,0,4,0
Less than 25,African-American,Male,F,1,1,1,1
25 - 45,Caucasian,Male,F,1,0,1,1
25 - 45,African-American,Male,F,1,1,28,1
Greater than 45,Caucasian,Male,M,0,1,0,0
Less than 25,African-American,Male,F,0,2,76,0
Greater than 45,Caucasian,Male,F,1,33,242,1
Greater than 45,Caucasian,Female,F,0,1,1,0
Less than 25,African-American,Male,M,1,1,27,1
Less than 25,African-American,Male,F,1,4,0,1
25 - 45,Hispanic,Female,F,0,0,0,0
Greater than 45,Other,Male,M,0,0,0,0
25 - 45,African-American,Male,F,0,0,2,0
Less than 25,Hispanic,Male,F,1,0,1,1
25 - 45,African-American,Male,M,0,1,32,0
25 - 45,Caucasian,Male,F,0,4,1,0
25 - 45,Caucasian,Female,F,0,0,5,0
25 - 45,Caucasian,Male,F,0,14,0,0
Greater than 45,Caucasian,Male,M,0,1,1,0
25 - 45,African-American,Male,F,0,15,1,0
Less than 25,African-American,Male,F,0,1,1,0
Greater than 45,African-American,Male,M,0,1,0,0
25 - 45,Caucasian,Male,F,1,2,0,1
25 - 45,Caucasian,Male,M,0,1,1,0
25 - 45,African-American,Male,F,1,1,1,1
25 - 45,African-American,Male,M,1,18,33,1
Less than 25,African-American,Male,F,1,1,1,1
25 - 45,Caucasian,Male,F,1,1,0,1
Greater than 45,African-American,Male,M,0,3,1,0
25 - 45,African-American,Female,F,0,14,1,0
25 - 45,African-American,Male,F,1,7,1,1
25 - 45,African-American,Male,F,1,20,29,1
25 - 45,Caucasian,Male,F,1,0,0,1
Less than 25,Caucasian,Male,M,1,0,0,1
25 - 45,African-American,Female,M,0,1,0,0
Greater than 45,Caucasian,Male,M,0,0,0,0
25 - 45,African-American,Male,F,1,5,155,1
Less than 25,Caucasian,Male,F,1,3,39,1
Less than 25,Hispanic,Male,M,0,0,1,0
Greater than 45,Caucasian,Male,M,0,0,0,0
25 - 45,Caucasian,Female,M,0,0,0,0
25 - 45,Caucasian,Male,M,1,1,0,1
25 - 45,African-American,Male,M,0,1,2,0
Less than 25,Caucasian,Male,M,0,2,15,0
25 - 45,African-American,Male,F,1,16,0,1
25 - 45,Caucasian,Male,F,0,0,7,0
Less than 25,Caucasian,Male,M,1,1,0,0
25 - 45,African-American,Male,F,1,1,168,1
25 - 45,Caucasian,Male,F,0,0,0,0
25 - 45,Caucasian,Male,F,0,0,1,0
25 - 45,Caucasian,Male,F,0,1,0,0
25 - 45,Caucasian,Male,F,1,1,2,1
Greater than 45,African-American,Male,F,1,0,0,1
25 - 45,African-American,Male,F,1,7,24,0
25 - 45,African-American,Male,M,0,0,1,0
25 - 45,African-American,Male,F,1,8,49,1
Greater than 45,Caucasian,Male,M,0,0,2,0
Greater than 45,African-American,Male,M,1,0,0,1
25 - 45,African-American,Male,M,0,1,0,0
25 - 45,Caucasian,Male,F,1,0,1,1
25 - 45,Caucasian,Female,M,1,1,10,1
